Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Token,20,162,152,215,235,271,109,271,0.000%,20.16129,6.83,4.35
Config,20,374,348,458,468,726,229,726,0.000%,17.15266,93.20,12.70
Psp List,20,301,293,363,388,413,215,413,0.000%,17.34605,28.29,12.79
Check Status,20,344,137,192,197,4122,112,4122,0.000%,4.05268,1.80,3.60
Events New,20,174,154,259,260,263,108,263,0.000%,4.06091,1.32,3.54
Initiate Order,20,676,716,856,949,962,380,962,0.000%,3.92542,1.91,5.06
Create Order,20,151,134,197,205,208,113,208,0.000%,4.38404,1.45,6.29
Finalize Order,20,125,126,144,146,159,97,159,0.000%,4.38885,1.50,5.22
Failed Order,20,182,183,224,228,233,138,233,0.000%,4.35825,1.41,6.26
TOTAL,180,277,183,458,726,949,97,4122,0.000%,27.44739,29.44,26.85
