Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Token,3499,1964,166,9913,13659,16475,104,17114,0.000%,.28186,0.10,0.06
Config,3499,344432,183,117640,119041,18299510,89,18300097,11.603%,.19120,0.92,0.14
Psp List,3436,889,153,2301,6431,9180,84,21007,0.058%,.27955,0.45,0.21
Check Status,3436,346,129,705,1055,4479,88,7057,0.000%,.27955,0.12,0.25
Events New,3436,109053,159,783,1378,2794,108,18172656,0.873%,.18893,0.06,0.16
Initiate Order,3411,724286,393,100550,101677,18184231,103,18185642,46.526%,.18757,0.08,0.23
Create Order,3273,175958,157,1373,164590,168589,108,18069920,9.624%,.18109,0.07,0.26
Finalize Order,3240,38768,135,466,614,1139,97,16485015,0.432%,.18088,0.06,0.21
Failed Order,3230,95699,178,1168,1686,5081,124,17900099,0.712%,.18033,0.06,0.26
Vendrequest ack,3210,352323,100150,100487,100799,15431506,21002,17896961,2.492%,.17922,0.07,0.15
Itemvendstatus,3156,876914,100133,100449,101129,17797002,100092,17800346,4.753%,.17655,0.08,0.16
Order vendstatus,3013,61075,140,427,617,1136,98,16884836,0.697%,.16950,0.06,0.16
TOTAL,39839,229792,191,100150,100436,16474096,84,18300097,6.597%,2.17579,1.90,2.04
