Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Token,1268,1478,470,4576,4942,5805,112,6481,0.000%,.63545,0.22,0.14
Config,1268,33132,840,124713,124934,129111,95,130609,19.479%,.63538,2.65,0.47
Psp List,1268,1527,680,5077,6875,7825,88,8486,0.000%,.67134,1.08,0.49
Check Status,1268,535,285,794,1257,4569,91,6613,0.000%,.67118,0.30,0.60
Events New,1268,629,374,1125,1276,1864,115,140438,0.473%,.62823,0.21,0.55
Initiate Order,1267,125515,709,100728,1170605,2017951,109,2018343,69.771%,.62773,0.32,0.76
Create Order,1197,46361,477,100194,100275,1882540,118,1885324,24.728%,.60770,0.23,0.86
Finalize Order,1180,5409,191,528,680,1468,103,1585633,0.847%,.63117,0.23,0.74
Failed Order,1174,4734,303,980,1403,4600,134,1788206,0.767%,.62801,0.21,0.89
Vendrequest ack,1167,181919,100204,100781,1370994,1610927,100100,1869225,7.198%,.62432,0.30,0.48
Itemvendstatus,1096,229444,100170,100769,1686134,1687960,21005,1688553,15.785%,.63917,0.43,0.50
Order vendstatus,925,7210,250,594,686,1583,105,1585790,0.865%,.57298,0.20,0.52
TOTAL,14346,51875,497,100271,100830,1685938,88,2018343,11.968%,6.74492,5.78,6.24
